"NQUEST"	"numcompfam"	"NCOMP"	"nord"	"SEX"	"PARENT"	"NASC"	"ANASC"	"CIT"	"ANINGR"	"MOTIV"	"STACIV"	"STUDIO"	"TIPOLAU"	"VOTOEDU"	"SUEDU"	"SELODE"	"ANNOEDU"	"TIPODIP"	"UNIVER"	"PRESNORD"	"NORDP"	"MOTENT"	"ANNOENUS"	"B01"	"APQUAL2"	"ASNONOC2"	"NACE2"	"NESPLAV"	"EXLAV"	"ETALAV"	"DISLAV"	"DISANN1"	"DISANN2"	"CONTRIB"	"ACONTRIB"	"FCONTRIB"	"OCCNOW"	"PROBLAV1"	"CERC2"	"PROBLAV2"	"SALMIN"	"SMARTW"	"SMARTWA"	"SMARTWB"	"ETAPEN"	"COPPU"	"PREVCOM"	"COPPIP"	"B16"	"B17A"	"B17B"	"B18"	"B19A"	"B19B"	"B19C"	"ATTIVP"	"ISCO"	"NACE"	"ETALAV2"	"MISCOVID1"	"MISCOVID2"	"MISCOVIDV1"	"ETA"	"NASCREG"	"NASCAREA"	"IREG"	"PARENTP"	"smartwa1"	"CLETA5"	"QUAL"	"Q"	"SETT"	"CFRED"	"PERC"	"PERL"	"NPERL"	"NPERC"	"AREA3"	"AREA5"	"ACOM4C"	"ACOM5"	"PESOFIT"	"PESOFIT2"	"y.hh"	"y.fam"	"y.nhh"	"GODABIT"	"QUOPRO"	"VALABIT"	"y.rhh"	"NW"	"NE"	"N"	"SO"	"IS"	"S"
173	1	1	1	1	1	1	1948	1	NA	NA	3	5	NA	44	60	NA	1968	2	2	1	1	NA	NA	2	15	2	19	1	NA	25	2	NA	NA	1	35	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	72	18	3	18	NA	NA	5	6	3	5	1	1	0	0	1	3	4	2	4	0.3801667553	1539.5927228	23400	23400	0	1	0	150000	100	FALSE	FALSE	0	TRUE	FALSE	1
633	1	1	1	2	1	1	1934	1	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	16	NA	NA	3	1	16	1	20	NA	1	20	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	86	5	1	5	NA	NA	5	6	3	5	1	1	0	0	1	1	2	1	3	1.4532695652	5885.4258454	10800	10800	0	1	0	120000	100	FALSE	TRUE	1	FALSE	FALSE	0
923	1	1	1	2	1	1	1932	1	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	16	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	88	13	3	13	NA	NA	5	6	3	5	1	1	0	0	1	3	4	2	4	0.8691912981	3520.0358234	6500	6500	0	1	0	150000	100	FALSE	FALSE	0	TRUE	FALSE	1
2886	2	2	1	1	1	1	1949	1	NA	NA	1	5	NA	37	60	NA	1970	2	1	1	1	NA	NA	2	15	2	16	1	NA	26	2	NA	NA	1	35	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	71	13	3	13	NA	NA	5	6	3	5	0	1	0	0	2	3	4	2	3	0.2383701068	965.34711865	15743	43043	27300	1	0	180000	36.5750528541226	FALSE	FALSE	0	TRUE	FALSE	1
5416	4	4	1	2	1	1	1958	1	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	15	1	19	3	1	16	2	NA	NA	1	30	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	62	8	1	8	NA	NA	4	6	3	5	0	1	0	3	4	1	2	2	4	0.8819878952	3571.8592601	8400	40200	31800	2	0	100000	20.8955223880597	FALSE	TRUE	1	FALSE	FALSE	0
7886	2	2	1	1	1	1	1950	1	NA	NA	1	5	NA	36	60	NA	1969	2	2	1	1	NA	NA	2	15	2	11	1	NA	22	2	NA	NA	1	35	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	70	9	2	9	NA	NA	5	6	3	5	1	1	0	1	2	2	3	0	2	1.2452078122	5042.8209717	26000	33100	7100	1	0	500000	78.5498489425982	FALSE	FALSE	0	FALSE	FALSE	0
20297	2	2	1	1	1	1	1960	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	15	1	19	3	1	14	2	NA	NA	1	39	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	60	5	1	5	NA	NA	4	6	3	5	1	1	0	1	2	1	2	2	5	1.6694497619	6760.9086516	15600	25400	9800	2	0	100000	61.4173228346457	FALSE	TRUE	1	FALSE	FALSE	0
22099	2	2	1	1	1	1	1958	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	7	NA	NA	1	NA	18	2	NA	NA	1	38	0	1	50	2	NA	NA	2	NA	NA	68	50	NA	NA	2	1	2	2	2	2	2	NA	5141	19	NA	1	2	1800	62	15	3	15	NA	NA	4	4	2	4	1	1	1	1	1	3	4	1	3	1.2666906216	5129.82168	0	0	0	1	0	200000	NA	FALSE	FALSE	0	TRUE	FALSE	1
22169	1	1	1	2	1	1	1944	1	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	15	1	19	1	NA	40	2	NA	NA	1	5	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	76	15	3	15	NA	NA	5	6	3	5	1	1	0	0	1	3	4	3	5	1.6875562177	6834.2358615	11440	11440	0	2	0	100000	100	FALSE	FALSE	0	TRUE	FALSE	1
22173	3	3	1	2	1	1	1975	1	NA	NA	2	5	NA	50	60	NA	1994	2	2	1	3	NA	NA	1	2	NA	NA	1	NA	25	2	NA	NA	1	20	0	1	50	2	NA	NA	2	NA	NA	65	80	2	NA	1	2	2	2	2	2	2	NA	2411	14	NA	2	2	NA	45	15	3	15	NA	NA	3	2	1	4	1	1	1	1	2	3	4	3	5	2.8359039134	11484.794416	14000	27000	13000	2	0	350000	51.8518518518518	FALSE	FALSE	0	TRUE	FALSE	1
